year,city,country,contestant,song,event,points,place
1978,Paris,Turkey,Nazar,Sevinçe,Final,2,18
1978,Paris,Portugal,Gemini,Dai-li-dou,Final,5,17
1978,Paris,Denmark,Mabel,Boom Boom,Final,13,16
1978,Paris,Austria,Springtime,Mrs. Caroline Robinson,Final,14,15
1978,Paris,Sweden,Björn Skifs,Det Blir Alltid Värre Framåt Natten,Final,26,14
1978,Paris,The Netherlands,Harmony,'t Is Ok,Final,37,13
1978,Paris,Italy,Ricchi e Poveri,Questo Amore,Final,53,12
1978,Paris,United Kingdom,Co-Co,The Bad Old Days,Final,61,11
1978,Paris,Spain,José Vélez,Bailemos Un Vals,Final,65,9
1978,Paris,Switzerland,Carole Vinci,Vivre,Final,65,9
1978,Paris,Greece,Tania Tsanaklidou,Charlie Chaplin,Final,66,8
1978,Paris,Luxembourg,Baccara,Parlez-vous Français?,Final,73,7
1978,Paris,Germany,Ireen Sheer,Feuer,Final,84,6
1978,Paris,Ireland,Colm T. Wilkinson,Born To Sing,Final,86,5
1978,Paris,Monaco,Caline and Olivier Toussaint,Les Jardins De Monaco,Final,107,4
1978,Paris,France,Joël Prévost,Il Y Aura Toujours Des Violons,Final,119,3
1978,Paris,Belgium,Jean Vallée,L'amour ça Fait Chanter La Vie,Final,125,2
1978,Paris,Israel,Izhar Cohen and the Alphabeta,Abanibi,Final,157,1
1979,Jerusalem,Austria,Christina Simon,Heute In Jerusalem,Final,5,18
1979,Jerusalem,Belgium,Micha Marah,Hey Nana,Final,5,18
1979,Jerusalem,Sweden,Ted Gärdestad,Satellit,Final,8,17
1979,Jerusalem,Monaco,Laurent Vaguener,"Notre Vie, C'est La Musique",Final,12,16
1979,Jerusalem,Italy,Matia Bazar,Raggio Di Luna,Final,27,15
1979,Jerusalem,Finland,Katri-Helena,Katso Sineen Taivaan,Final,38,14
1979,Jerusalem,Luxembourg,Jeane Manson,J'ai Déjà Vu ça Dans Tes Yeux,Final,44,13
1979,Jerusalem,The Netherlands,Xandra,Colorado,Final,51,12
1979,Jerusalem,Norway,Anita Skorgan,Oliver,Final,57,11
1979,Jerusalem,Switzerland,"Peter, Sue and Marc and Pfuri, Gorps and Kniri",Trödler Und Co.,Final,60,10
1979,Jerusalem,Portugal,Manuela Bravo,"Sobe, Sobe, Balão Sobe",Final,64,9
1979,Jerusalem,Greece,Elpida,Socrates,Final,69,8
1979,Jerusalem,United Kingdom,Black Lace,Mary Ann,Final,73,7
1979,Jerusalem,Denmark,Tommy Seebach,Disco Tango,Final,76,6
1979,Jerusalem,Ireland,Cathal Dunne,Happy Man,Final,80,5
1979,Jerusalem,Germany,Dschinghis Khan,Dschinghis Khan,Final,86,4
1979,Jerusalem,France,Anne-Marie David,Je Suis L'enfant-soleil,Final,106,3
1979,Jerusalem,Spain,Betty Missiego,Su Canción,Final,116,2
1979,Jerusalem,Israel,Milk and Honey,Hallelujah,Final,125,1
1980,The Hague,Finland,Vesa-Matti Loiri,Huilumies,Final,6,19
1980,The Hague,Morocco,Samira Bensaïd,Bitakat Hob,Final,7,18
1980,The Hague,Belgium,Telex,Euro-vision,Final,14,17
1980,The Hague,Norway,Sverre Kjellsberg and Mattis Hætta,Sámiid Ædnan,Final,15,16
1980,The Hague,Turkey,Ajda Pekkan,Petr'oil,Final,23,15
1980,The Hague,Denmark,Bamses Venner,Tænker Altid På Dig,Final,25,14
1980,The Hague,Greece,Anna Vishy and the Epikouri,Autostop,Final,30,13
1980,The Hague,Spain,Trigo Limpio,Qué Date Esta Noche,Final,38,12
1980,The Hague,France,Profil,"Hé, Hé M'sieurs Dames",Final,45,11
1980,The Hague,Sweden,Tomas Ledin,Just Nu!,Final,47,10
1980,The Hague,Luxembourg,Sophie and Magaly,Papa Pingouin,Final,56,9
1980,The Hague,Austria,Blue Danube,Du Bist Musik,Final,64,8
1980,The Hague,Portugal,José Cid,"Um Grande, Grande Amor",Final,71,7
1980,The Hague,Italy,Alan Sorrenti,Non So Che Darei,Final,87,6
1980,The Hague,The Netherlands,Maggie MacNeal,Amsterdam,Final,93,5
1980,The Hague,Switzerland,Paola,Cinéma,Final,104,4
1980,The Hague,United Kingdom,Prima Donna,Love Enough For Two,Final,106,3
1980,The Hague,Germany,Katja Ebstein,Theater,Final,128,2
1980,The Hague,Ireland,Johnny Logan,What's Another Year,Final,143,1
1981,Dublin,Norway,Finn Kalvik,Aldri I Livet,Final,0,20
1981,Dublin,Portugal,Carlos Paião,Play-back,Final,9,18
1981,Dublin,Turkey,Modern Folk Trio and Aysegül,Dönme Dolap,Final,9,18
1981,Dublin,Austria,Marty Brem,Wenn Du Da Bist,Final,20,17
1981,Dublin,Finland,Riki Sorsa,Reggae O.k.,Final,27,16
1981,Dublin,Yugoslavia,Seid-Memic Vajta,Leila,Final,35,15
1981,Dublin,Spain,Bacchelli,Y Solo Tú,Final,38,14
1981,Dublin,Belgium,Emly Starr,Samson,Final,40,13
1981,Dublin,Denmark,Debbie Cameron and Tommy Seebach,Krøller Eller Ej,Final,41,11
1981,Dublin,Luxembourg,Jean-Claude Pascal,C'est Peut-être Pas L'amérique,Final,41,11
1981,Dublin,Sweden,Björn Skifs,Fångad I En Dröm,Final,50,10
1981,Dublin,The Netherlands,Linda Williams,Het Is Een Wonder,Final,51,9
1981,Dublin,Greece,Yiannis Dimitras,Feggari Kalokerino,Final,55,8
1981,Dublin,Israel,Habibi,Halaylah,Final,56,7
1981,Dublin,Cyprus,Island,Monika,Final,69,6
1981,Dublin,Ireland,Sheeba,Horoscopes,Final,105,5
1981,Dublin,Switzerland,"Peter, Sue and Marc",Io Senza Tei,Final,121,4
1981,Dublin,France,Jean Gabilou,Humanahum,Final,125,3
1981,Dublin,Germany,Lena Valaitis,Johnny Blue,Final,132,2
1981,Dublin,United Kingdom,Bucks Fizz,Making Your Mind Up,Final,136,1
1982,Harrogate,Finland,Kojo,Nuku Pommiin,Final,0,18
1982,Harrogate,Denmark,Brixx,Video-video,Final,5,17
1982,Harrogate,The Netherlands,Bill van Dijk,Jij En Ik,Final,8,16
1982,Harrogate,Turkey,Neço,Hani,Final,20,15
1982,Harrogate,Yugoslavia,Aska,Halo Halo,Final,21,14
1982,Harrogate,Portugal,Doce,Bem-bom,Final,32,13
1982,Harrogate,Norway,Jahn Teigen and Anita Skorgan,Adieu,Final,40,12
1982,Harrogate,Ireland,The Duskeys,"Here Today, Gone Tomorrow",Final,49,11
1982,Harrogate,Spain,Lucía,Él,Final,52,10
1982,Harrogate,Austria,Mess,Sonntag,Final,57,9
1982,Harrogate,Sweden,Chips,Dag Efter Dag,Final,67,8
1982,Harrogate,United Kingdom,Bardo,One Step Further,Final,76,7
1982,Harrogate,Luxembourg,Svetlana,Cour Apres Le Temps,Final,78,6
1982,Harrogate,Cyprus,Anna Vishy,Mono I Agapi,Final,85,5
1982,Harrogate,Belgium,Stella,Si Tu Aimes Ma Musique,Final,96,4
1982,Harrogate,Switzerland,Arlette Zola,Amour On T'aime,Final,97,3
1982,Harrogate,Israel,Avi Toledano,Hora,Final,100,2
1982,Harrogate,Germany,Nicole,Ein Bißchen Frieden,Final,161,1
1983,Munich,Spain,Remedios Amaya,¿quién Maneja Mi Barca?,Final,0,19
1983,Munich,Turkey,Çetin Alp and the Short Wave,Opera,Final,0,19
1983,Munich,Belgium,Pas de Deux,Rendez-vous,Final,13,18
1983,Munich,Denmark,Gry Johansen,Kloden Drejer,Final,16,17
1983,Munich,Cyprus,Stavros and Constantina,I Agapi Akoma Zi,Final,26,16
1983,Munich,Switzerland,Mariella Farré,Io Così Non Ci Sto,Final,28,15
1983,Munich,Greece,Christie Stassinopoulou,Mou Les,Final,32,14
1983,Munich,Portugal,Armando Gama,Esta Balada Que Te Dou,Final,33,13
1983,Munich,Finland,Ami Aspelund,Fantasiaa,Final,41,11
1983,Munich,Italy,Riccardo Fogli,Per Lucia,Final,41,11
1983,Munich,Austria,Westend,Hurricane,Final,53,9
1983,Munich,Norway,Jahn Teigen,Do Re Mi,Final,53,9
1983,Munich,France,Guy Bonnet,Vivre,Final,56,8
1983,Munich,The Netherlands,Bernadette,Sing Me A Song,Final,66,7
1983,Munich,United Kingdom,Sweet Dreams,I'm Never Giving Up,Final,79,6
1983,Munich,Germany,Hoffmann und Hoffmann,Rücksicht,Final,94,5
1983,Munich,Yugoslavia,Danijel,Dzuli,Final,125,4
1983,Munich,Sweden,Carola Häggkvist,Främling,Final,126,3
1983,Munich,Israel,Ofra Haza,Hi,Final,136,2
1983,Munich,Luxembourg,Corinne Hermès,Si La Vie Est Cadeau,Final,142,1
1984,Luxembourg,Austria,Anita,Einfach Weg,Final,5,19
1984,Luxembourg,Yugoslavia,Vlado and Isolda,Ciao Amore,Final,26,18
1984,Luxembourg,Norway,Dollie de Luxe,Lenge Leve Livet,Final,29,17
1984,Luxembourg,Switzerland,Rainy Day,Welche Farbe Hat Der Sonnenschein,Final,30,16
1984,Luxembourg,Cyprus,Andy Paul,Anna Mari-elena,Final,31,15
1984,Luxembourg,Germany,Mary Roos,Aufrecht Geh'n,Final,34,13
1984,Luxembourg,The Netherlands,Maribelle,Ik Hou Van Jou,Final,34,13
1984,Luxembourg,Turkey,"Bes Yil Önce, On Yil Sonra",Halay,Final,37,12
1984,Luxembourg,Portugal,Maria Guinot,Silêncio E Tanta Gente,Final,38,11
1984,Luxembourg,Luxembourg,Sophie Carle,100% D'amour,Final,39,10
1984,Luxembourg,Finland,Kirka,Hengaillaan,Final,46,9
1984,Luxembourg,France,Annick Thoumazeau,Autant D'amoureux Que D'étoiles,Final,61,8
1984,Luxembourg,United Kingdom,Belle and the Devotions,Love Games,Final,63,7
1984,Luxembourg,Belgium,Jacques Zegers,Avanti La Vie,Final,70,5
1984,Luxembourg,Italy,Alice and Battiato,I Treni Di Tozeur,Final,70,5
1984,Luxembourg,Denmark,Hot Eyes,Det' Lige Det,Final,101,4
1984,Luxembourg,Spain,Bravo,"Lady, Lady",Final,106,3
1984,Luxembourg,Ireland,Linda Martin,Terminal '3',Final,137,2
1984,Luxembourg,Sweden,Herrey's,Diggi-loo Diggy-ley,Final,145,1
1985,Gothenburg,Belgium,Linda Lepomme,Laat Me Nu Gaan,Final,7,19
1985,Gothenburg,Portugal,Adelaïde,"Penso Em Ti, Eu Sei",Final,9,18
1985,Gothenburg,Cyprus,Lia Vishy,To Katalava Arga,Final,15,16
1985,Gothenburg,Greece,Takis Biniaris,Miazoume,Final,15,16
1985,Gothenburg,Spain,Paloma San Basilio,La Fiesta Terminó,Final,36,14
1985,Gothenburg,Turkey,MFÖ,Di Dai Di Dai Dai (a'sik Oldum),Final,36,14
1985,Gothenburg,Luxembourg,"Margo, Franck Olivier, Diane Solomon, Ireen Sheer, Malcolm Roberts and Chris Roberts","Children, Kinder, Enfants",Final,37,13
1985,Gothenburg,Switzerland,Mariella Farré and Pino Gasparini,Piano Piano,Final,39,12
1985,Gothenburg,Denmark,Hot Eyes,Sku' Du Spør Fra No'n,Final,41,11
1985,Gothenburg,France,Roger Bens,Femme Dans Ses Rêves Aussi,Final,56,10
1985,Gothenburg,Finland,Sonja Lumme,Eläköön Elämä,Final,58,9
1985,Gothenburg,Austria,Gary Lux,Kinder Dieser Welt,Final,60,8
1985,Gothenburg,Italy,Al Bano and Romina Power,"Magic, Oh Magic",Final,78,7
1985,Gothenburg,Ireland,Maria Christian,Wait Until The Weekend Comes,Final,91,6
1985,Gothenburg,Israel,Izhar Cohen,Olé Olé,Final,93,5
1985,Gothenburg,United Kingdom,Vikki,Love Is...,Final,100,4
1985,Gothenburg,Sweden,Kikki Danielsson,Bra Vibrationer,Final,103,3
1985,Gothenburg,Germany,Wind,Für Alle,Final,105,2
1985,Gothenburg,Norway,Bobbysocks,La Det Swinge,Final,123,1
1986,Bergen,Cyprus,Elpida,Tora Zo,Final,4,20
1986,Bergen,Israel,Moti Galadi and Sarai Tzuriel,Yavoh Yom,Final,7,19
1986,Bergen,Austria,Timna Brauer,Die Zeit Ist Einsam,Final,12,18
1986,Bergen,France,Cocktail Chic,Européennes,Final,13,17
1986,Bergen,Iceland,Icy,Gleðibankinn,Final,19,16
1986,Bergen,Finland,Kari Kuivalainen,Päivä Kahden Ihmisen,Final,22,15
1986,Bergen,Portugal,Dora,Não Sejas Mau Para Mim,Final,28,14
1986,Bergen,The Netherlands,Frizzle Sizzle,Alles Heeft Ritme,Final,40,13
1986,Bergen,Norway,Ketil Stokkan,Romeo,Final,44,12
1986,Bergen,Yugoslavia,Doris Dragovic,Zeljo Moja,Final,49,11
1986,Bergen,Spain,Cadillac,Valentino,Final,51,10
1986,Bergen,Turkey,Klips ve Onlar,Halley,Final,53,9
1986,Bergen,Germany,Ingrid Peters,Über Die Brücke Geh'n,Final,62,8
1986,Bergen,United Kingdom,Ryder,Runner In The Night,Final,72,7
1986,Bergen,Denmark,Lise Haavik and Trax,Du Er Fuld Af Løgn,Final,77,6
1986,Bergen,Sweden,Lasse Holm and Monica Törnell,E' De' Det Här Du Kallar Kärlek,Final,78,5
1986,Bergen,Ireland,Luv Bug,You Can Count On Me,Final,96,4
1986,Bergen,Luxembourg,Sherisse Laurence,L'amour De Ma Vie,Final,117,3
1986,Bergen,Switzerland,Daniela Simons,Pas Pour Moi,Final,140,2
1986,Bergen,Belgium,Sandra Kim,J'aime La Vie,Final,176,1
1987,Brussels,Turkey,Seyyal Tanner and Lokomotif,Sarkim Sevgi üstüne,Final,0,22
1987,Brussels,Luxembourg,Plastic Bertrand,Amour Amour,Final,4,21
1987,Brussels,Austria,Gary Lux,Nur Noch Gefühl,Final,8,20
1987,Brussels,Spain,Patricia Kraus,No Estás Solo,Final,10,19
1987,Brussels,Portugal,Nevada,Neste Barco à Vela,Final,15,18
1987,Brussels,Switzerland,Carole Rich,Moitié Moitié,Final,26,17
1987,Brussels,Iceland,Halla Margarét,Hægt Og Hljótt,Final,28,16
1987,Brussels,Finland,Vicky Rosti,Sata Salamaa,Final,32,15
1987,Brussels,France,Christine Minier,Les Mots D'amour N'ont Pas De Dimanche,Final,44,14
1987,Brussels,United Kingdom,Rikki,Only The Light,Final,47,13
1987,Brussels,Sweden,Lotta Engberg,Boogaloo,Final,50,12
1987,Brussels,Belgium,Liliane Saint-Pierre,Soldiers Of Love,Final,56,11
1987,Brussels,Greece,Bang,Stop!,Final,64,10
1987,Brussels,Norway,Kate Gulbrandsen,Mitt Liv,Final,65,9
1987,Brussels,Israel,Datner and Kushnir,Shir Habatlanim,Final,73,8
1987,Brussels,Cyprus,Alexia,Aspro Mavro,Final,80,7
1987,Brussels,Denmark,Anne-Catherine Herdorf and Bandjo,En Lille Melodi,Final,83,5
1987,Brussels,The Netherlands,Marcha,Rechtop In De Wind,Final,83,5
1987,Brussels,Yugoslavia,Novi Fosili,Ja Sam Za Ples,Final,92,4
1987,Brussels,Italy,Umberto Tozzi and Raf,Gente Di Mare,Final,103,3
1987,Brussels,Germany,Wind,Laß Die Sonne In Dein Herz,Final,141,2
1987,Brussels,Ireland,Johnny Logan,Hold Me Now,Final,172,1
1988,Dublin,Austria,Wilfried,Lisa Mona Lisa,Final,0,21
1988,Dublin,Finland,Boulevard,Nauravat Silmät Muistetaan,Final,3,20
1988,Dublin,Belgium,Reynaert,Laissez Briller Le Soleil,Final,5,18
1988,Dublin,Portugal,Dora,Voltarei,Final,5,18
1988,Dublin,Greece,Aphroditi Fryda,Kloun,Final,10,17
1988,Dublin,Iceland,Beathoven,Sókrates,Final,20,16
1988,Dublin,Turkey,MFÖ,Sufi (hey Ya Hey),Final,37,15
1988,Dublin,Germany,Maxi and Chris Garden,Lied Für Einen Freund,Final,48,14
1988,Dublin,Italy,Luca Barbarossa,Ti Scrivo,Final,52,12
1988,Dublin,Sweden,Tommy Körberg,Stad I Ljus,Final,52,12
1988,Dublin,Spain,La Década,La Chica Que Yo Quiero (made In Spain),Final,58,11
1988,Dublin,France,Gérard Lenorman,Chanteur De Charme,Final,64,10
1988,Dublin,The Netherlands,Gerard Joling,Shangri-la,Final,70,9
1988,Dublin,Ireland,Jump the Gun,Take Him Home,Final,79,8
1988,Dublin,Israel,Yardena Arazi,Ben Adam,Final,85,7
1988,Dublin,Yugoslavia,Srebrna Krila,Mangup,Final,87,6
1988,Dublin,Norway,Karoline Krüger,For Vår Jord,Final,88,5
1988,Dublin,Luxembourg,Lara Fabian,Croire,Final,90,4
1988,Dublin,Denmark,Hot Eyes,Ka' Du Se Hva' Jeg Sa',Final,92,3
1988,Dublin,United Kingdom,Scott Fitzgerald,Go,Final,136,2
1988,Dublin,Switzerland,Céline Dion,Ne Partez Pas Sans Moi,Final,137,1
1989,Lausanne,Iceland,Daníel Augúst Haraldsson,Það Sem Enginn Sér,Final,0,22
1989,Lausanne,Turkey,Pan,Bana Bana,Final,5,21
1989,Lausanne,Luxembourg,Park Café,Monsieur,Final,8,20
1989,Lausanne,Belgium,Ingeborg,Door De Wind,Final,13,19
1989,Lausanne,Ireland,Kiev Connolly and the Missing Passengers,The Real Me,Final,21,18
1989,Lausanne,Norway,Britt Synnøve Johansen,Venners Nærhet,Final,30,17
1989,Lausanne,Portugal,Da Vinci,Conquistador,Final,39,16
1989,Lausanne,The Netherlands,Justine Pelmelay,Blijf Zoals Je Bent,Final,45,15
1989,Lausanne,Germany,Nino de Angelo,Flieger,Final,46,14
1989,Lausanne,Switzerland,Furbaz,Viver Senza Tei,Final,47,13
1989,Lausanne,Israel,Gili ve Galit,Derech Ha'melech,Final,50,12
1989,Lausanne,Cyprus,Fanny Polymeri and Yiannis Savvidakis,Apopse As Vrethoume,Final,51,11
1989,Lausanne,Greece,Marianna,To Diko Sou Asteri,Final,56,9
1989,Lausanne,Italy,Anna Oxa and Fausto Leali,Avrei Voluto,Final,56,9
1989,Lausanne,France,Nathalie Pâque,J'ai Volé La Vie,Final,60,8
1989,Lausanne,Finland,Anneli Saaristo,La Dolce Vita,Final,76,7
1989,Lausanne,Spain,Nina,Nacida Para Amar,Final,88,6
1989,Lausanne,Austria,Thomas Forstner,Nur Ein Lied,Final,97,5
1989,Lausanne,Sweden,Tommy Nilsson,En Dag,Final,110,4
1989,Lausanne,Denmark,Birthe Kjær,Vi Maler Byen Rød,Final,111,3
1989,Lausanne,United Kingdom,Live Report,Why Do I Always Get It Wrong,Final,130,2
1989,Lausanne,Yugoslavia,Riva,Rock Me,Final,137,1
1990,Zagreb,Finland,Beat,Fri?,Final,8,21
1990,Zagreb,Norway,Ketil Stokkan,Brandenburger Tor,Final,8,21
1990,Zagreb,Portugal,Nucha,Há Sempre Alguém,Final,9,20
1990,Zagreb,Greece,Christos Callow and Wave,Horis Skopo,Final,11,19
1990,Zagreb,Israel,Rita,Shara Barechovot,Final,16,18
1990,Zagreb,Turkey,Kayahan,Gözlerinin Hapsindeyim,Final,21,17
1990,Zagreb,Sweden,Edin-Ådahl,Som En Vind,Final,24,16
1990,Zagreb,The Netherlands,Maywood,Ik Wil Alles Met Je Delen,Final,25,15
1990,Zagreb,Cyprus,Haris Anastasiou,Milas Poli,Final,36,14
1990,Zagreb,Luxembourg,Céline Carzo,Quand Je Te Rêve,Final,38,13
1990,Zagreb,Belgium,Philippe Lafontaine,Macédomienne,Final,46,12
1990,Zagreb,Switzerland,Egon Egemann,Musik Klingt In Die Welt Hinaus,Final,51,11
1990,Zagreb,Austria,Simone,Keine Mauern Mehr,Final,58,10
1990,Zagreb,Germany,Chris Kempers and Daniel Kovac,Frei Zu Leben,Final,60,9
1990,Zagreb,Denmark,Lonnie Devantier,Hallo Hallo,Final,64,8
1990,Zagreb,Yugoslavia,Tajci,Hajde Da Ludujemo,Final,81,7
1990,Zagreb,United Kingdom,Emma,Give A Little Love Back To The World,Final,87,6
1990,Zagreb,Spain,Azúcar Moreno,Bandido,Final,96,5
1990,Zagreb,Iceland,Stjórnin,Eitt Lag Enn,Final,124,4
1990,Zagreb,France,Joelle Ursull,White And Black Blues,Final,132,2
1990,Zagreb,Ireland,Liam Reilly,Somewhere In Europe,Final,132,2
1990,Zagreb,Italy,Toto Cutugno,Insieme: 1992,Final,149,1
1991,Rome,Austria,Thomas Forstner,Venedig Im Regen,Final,0,22
1991,Rome,Yugoslavia,Baby Doll,Brazil,Final,1,21
1991,Rome,Finland,Kaija,Hullu Yö,Final,6,20
1991,Rome,Denmark,Anders Frandsen,Lige Der Hvor Hjertet Slår,Final,8,19
1991,Rome,Germany,Atlantis 2000,Dieser Traum Darf Niemals Sterben,Final,10,18
1991,Rome,Norway,Just 4 Fun,Mrs. Thompson,Final,14,17
1991,Rome,Belgium,Clouseau,Geef Het Op,Final,23,16
1991,Rome,Iceland,Stefán and Eyfi,Nina,Final,26,15
1991,Rome,Luxembourg,Sarah Bray,Un Baiser Volé,Final,29,14
1991,Rome,Greece,Sofia Vossou,I Anixi,Final,36,13
1991,Rome,Turkey,"Izel Çeliköz, Rayhan Soykarçi and Can Ugurluér",Iki Dakika,Final,44,12
1991,Rome,Ireland,Kim Jackson,Could It Be That I'm In Love,Final,47,10
1991,Rome,United Kingdom,Samantha Janus,A Message To Your Heart,Final,47,10
1991,Rome,Cyprus,Elena Patroclou,S.o.s.,Final,60,9
1991,Rome,Portugal,Dulce,Lusitana Paixão,Final,62,8
1991,Rome,Italy,Peppino di Capri,Comme E' Ddoce 'o Mare,Final,89,7
1991,Rome,Malta,Paul Giordimaina and Georgina,Could It Be,Final,106,6
1991,Rome,Switzerland,Sandra Simò,Canzone Per Te,Final,118,5
1991,Rome,Spain,Sergio Dalma,Bailar Pegados,Final,119,4
1991,Rome,Israel,Duo Datz,Kan,Final,139,3
1991,Rome,France,Amina,C'est Le Dernier Qui A Parlé Qui A Raison,Final,146,2
1991,Rome,Sweden,Carola,Fångad Av En Stormvind,Final,146,1
1992,Malmö,Finland,Pave,Yamma Yamma,Final,4,23
1992,Malmö,Sweden,Christer Björkman,I Morgon är En Annan Dag,Final,9,22
1992,Malmö,Luxembourg,Marion Welter and Kontinent,Sou Fräi,Final,10,21
1992,Malmö,Belgium,Morgane,Nous On Veut Des Violons,Final,11,20
1992,Malmö,Turkey,Aylin Vatankos,Yaz Bitti,Final,17,19
1992,Malmö,Norway,Merethe Trøan,Visjoner,Final,23,18
1992,Malmö,Portugal,Diná,Amor D'água Fresca,Final,26,17
1992,Malmö,Germany,Wind,Träume Sind Für Alle Da,Final,27,16
1992,Malmö,Switzerland,Daisy Auvray,Mister Music Man,Final,32,15
1992,Malmö,Spain,Serafin,Todo Esto Es La Música,Final,37,14
1992,Malmö,Yugoslavia,Extra Nena,Ljubim Te Pesmama,Final,44,13
1992,Malmö,Denmark,Lotte Nilsson and Kenny Lübcke,Ålt Det Som Ingen Ser,Final,47,12
1992,Malmö,Cyprus,Evridiki,Teriazoume,Final,57,11
1992,Malmö,Austria,Tony Wegas,Zusammen Geh'n,Final,63,10
1992,Malmö,The Netherlands,Humphrey Campbell,Wijs Me De Weg,Final,67,9
1992,Malmö,France,Kali,Monté La Riviè,Final,73,8
1992,Malmö,Iceland,Heart 2 Heart,Nei Eða Já,Final,80,7
1992,Malmö,Israel,Dafna,Ze Rak Sport,Final,85,6
1992,Malmö,Greece,Cleopatra,Olou Tou Kosmou I Elpida,Final,94,5
1992,Malmö,Italy,Mia Martini,Rapsodia,Final,111,4
1992,Malmö,Malta,Mary Spiteri,Little Child,Final,123,3
1992,Malmö,United Kingdom,Michael Ball,One Step Out Of Time,Final,139,2
1992,Malmö,Ireland,Linda Martin,Why Me,Final,155,1
1993,Millstreet,Belgium,Barbara,Iemand Als Jij,Final,3,25
1993,Millstreet,Israel,Lakahat Shiru,Shiru,Final,4,24
1993,Millstreet,Denmark,Tommy Seebach Band,Under Stjernerne På Himlen,Final,9,22
1993,Millstreet,Slovenia,1X Band,Tih Dezeven Dan,Final,9,22
1993,Millstreet,Turkey,"Burak Aydos, Öztürk Baybora & Serter",Esmer Yarim,Final,10,21
1993,Millstreet,Luxembourg,Modern Times,Donne-moi Une Chance,Final,11,20
1993,Millstreet,Cyprus,Kyriakos Zymboulakis and Demos Van Beke,Mi Stamatas,Final,17,19
1993,Millstreet,Germany,Münchener Freiheit,Viel Zu Weit,Final,18,18
1993,Millstreet,Finland,Katri-Helena,Tule Luo,Final,20,17
1993,Millstreet,Bosnia & Herzegovina,Fazla,Sva Bol Svijeta,Final,27,16
1993,Millstreet,Croatia,Put,Don't Ever Cry,Final,31,15
1993,Millstreet,Austria,Tony Wegas,Maria Magdalena,Final,32,14
1993,Millstreet,Iceland,Inga,þá Veistu Svarið,Final,42,13
1993,Millstreet,Italy,Enrico Ruggeri,Sole D'europa,Final,45,12
1993,Millstreet,Spain,Eva Santamaria,Hombres,Final,58,11
1993,Millstreet,Portugal,Anabela,A Cidade Até Ser Dia,Final,60,10
1993,Millstreet,Greece,Kaiti Garbi,"Ellada, Hora Tou Fotos",Final,64,9
1993,Millstreet,Malta,William Mangion,This Time,Final,69,8
1993,Millstreet,Sweden,Arvingarna,Eloïse,Final,89,7
1993,Millstreet,The Netherlands,Ruth Jacott,Vrede,Final,92,6
1993,Millstreet,Norway,Silje Vige,Alle Mine Tankar,Final,120,5
1993,Millstreet,France,Patrick Fiori,Mama Corsica,Final,121,4
1993,Millstreet,Switzerland,Annie Cotton,"Moi, Tout Simplement",Final,148,3
1993,Millstreet,United Kingdom,Sonia,Better The Devil You Know,Final,164,2
1993,Millstreet,Ireland,Niamh Kavanagh,In Your Eyes,Final,187,1
1994,Dublin,Lithuania,Ovidijus Vyšniauskas,Lopšinė Mylimai,Final,0,25
1994,Dublin,Estonia,Silvi Vrait,Nagu Merelaine,Final,2,24
1994,Dublin,The Netherlands,Willeke Alberti,Waar Is De Zon,Final,4,23
1994,Dublin,Finland,CatCat,Bye Bye Baby,Final,11,22
1994,Dublin,Romania,Dan Bittman,Dincolo De Nori,Final,14,21
1994,Dublin,Slovakia,Martin Durinda and Tublatanka,Nekovecná Piesen,Final,15,19
1994,Dublin,Switzerland,Duilio,Sto Pregando,Final,15,19
1994,Dublin,Spain,Alejandro Abad,Ella No Es Ella,Final,17,18
1994,Dublin,Austria,Petra Frey,Für Den Frieden Der Welt,Final,19,17
1994,Dublin,Croatia,Tony Cetinski,Nek'ti Bude Ljubav Sva,Final,27,16
1994,Dublin,Bosnia & Herzegovina,Alma and Dejan,Ostani Kraj Mene,Final,39,15
1994,Dublin,Greece,Costas Bigalis and the Sea Lovers,To Trehantiri (diri Diri),Final,44,14
1994,Dublin,Sweden,Marie Bergman and Roger Pontare,Stjärnorna,Final,48,13
1994,Dublin,Iceland,Sigga,Nætur,Final,49,12
1994,Dublin,Cyprus,Evridiki,Ime Anthropos Ke Ego,Final,51,11
1994,Dublin,United Kingdom,Frances Ruffelle,We Will Be Free (lonely Symphony),Final,63,10
1994,Dublin,Russia,Youddiph,Vechni Stranik,Final,70,9
1994,Dublin,Portugal,Sara Tavares,Chamar A Música,Final,73,8
1994,Dublin,France,Nina Morato,Je Suis Un Vrai Garçon,Final,74,7
1994,Dublin,Norway,Elisabeth Andreasson and Jan Werner Danielsen,Duett,Final,76,6
1994,Dublin,Malta,Moira Stafrace and Christopher Scicluna,More Than Love,Final,97,5
1994,Dublin,Hungary,Friderika Bayer,Kinek Mondjam El Vétkeimet,Final,122,4
1994,Dublin,Germany,MeKaDo,Wir Geben 'ne Party,Final,128,3
1994,Dublin,Poland,Edyta Górniak,To Nie Ja!,Final,166,2
1994,Dublin,Ireland,Paul Harrington and Charlie McGettigan,Rock 'n' Roll Kids,Final,226,1
1995,Dublin,Germany,Stone and Stone,Verliebt In Dich,Final,1,23
1995,Dublin,Hungary,Czaba Szigeti,Ùj Nèv Egy Règi Hàz Fàlan,Final,3,22
1995,Dublin,Portugal,Tó Cruz,Baunilha E Chocolate,Final,5,21
