year,city,country,contestant,song,event,points,place
1967,Vienna,Finland,Fredi,Varjoon-suojaan,Final,3,12
1967,Vienna,Portugal,Eduardo Nascimento,O Vento Mudou,Final,3,12
1967,Vienna,Italy,Claudio Villa,Non Andare Più Lontano,Final,4,11
1967,Vienna,Germany,Inge Brück,Anouschka,Final,7,8
1967,Vienna,Sweden,Östen Warnebring,Som En Dröm,Final,7,8
1967,Vienna,Yugoslavia,Lado Leskovar,Vse Roze Sveta,Final,7,8
1967,Vienna,Belgium,Louis Neefs,Ik Heb Zorgen,Final,8,7
1967,Vienna,Spain,Raphael,Hablemos Del Amor,Final,9,6
1967,Vienna,Monaco,Minouche Barelli,Boum-badaboum,Final,10,5
1967,Vienna,Luxembourg,Vicky,L'amour Est Bleu,Final,17,4
1967,Vienna,France,Noëlle Cordier,Il Doit Faire Beau Là-bas,Final,20,3
1967,Vienna,Ireland,Sean Dunphy,If I Could Choose,Final,22,2
1967,Vienna,United Kingdom,Sandie Shaw,Puppet On A String,Final,47,1
1968,London,Finland,Kristina Hautala,Kun Kello Käy,Final,1,16
1968,London,The Netherlands,Ronnie Tober,Morgen,Final,1,16
1968,London,Austria,Karel Gott,Tausend Fenster,Final,2,13
1968,London,Norway,Odd Børre,Stress,Final,2,13
1968,London,Switzerland,Gianni Mascolo,Guardando Il Sole,Final,2,13
1968,London,Luxembourg,Chris Baldo and Sophie Garel,Nous Vivrons D'amour,Final,5,11
1968,London,Portugal,Carlos Mendes,Verão,Final,5,11
1968,London,Italy,Sergio Endrigo,Marianne,Final,7,10
1968,London,Belgium,Claude Lombard,Quand Tu Reviendras,Final,8,7
1968,London,Monaco,Line and Willy,A Chacun Sa Chanson,Final,8,7
1968,London,Yugoslavia,Luci Kapurso and Hamo Hajdarhodzic,Jedan Dan,Final,8,7
1968,London,Germany,Wencke Myhre,Ein Hoch Der Liebe,Final,11,6
1968,London,Sweden,Claes-Göran Hederström,"Det Börjar Verka Kärlek, Banne Mej",Final,15,5
1968,London,Ireland,Pat McGeegan,Chance Of A Lifetime,Final,18,4
1968,London,France,Isabelle Aubret,La Source,Final,20,3
1968,London,United Kingdom,Cliff Richard,Congratulations,Final,28,2
1968,London,Spain,Massiel,"La, La, La...",Final,29,1
1969,Madrid,Norway,Kirsti Sparboe,"Oj, Oj, Oj, Så Glad, Jeg Skal Bli",Final,1,16
1969,Madrid,Portugal,Simone de Oliveira,Desfolhada Portuguesa,Final,4,15
1969,Madrid,Italy,Iva Zanicchi,Due Grosse Lacrime Bianche,Final,5,13
1969,Madrid,Yugoslavia,Ivan,Pozdrav Svijetu,Final,5,13
1969,Madrid,Finland,Jarkko and Laura,Kuin Silloin Ennen,Final,6,12
1969,Madrid,Luxembourg,Romuald,Cathérine,Final,7,11
1969,Madrid,Germany,Siw Malmkvist,Primaballerina,Final,8,9
1969,Madrid,Sweden,Tommy Körberg,"Judy, Min Vän",Final,8,9
1969,Madrid,Belgium,Louis Neefs,Jennifer Jennings,Final,10,7
1969,Madrid,Ireland,Muriel Day and the Lindsays,The Wages Of Love,Final,10,7
1969,Madrid,Monaco,Jean-Jacques,"Maman, Maman",Final,11,6
1969,Madrid,Switzerland,Paola del Medico,"Bonjour, Bonjour",Final,13,5
1969,Madrid,France,Frida Boccara,"Un Jour, Un Enfant",Final,18,1
1969,Madrid,Spain,Salomé,Vivo Cantando,Final,18,1
1969,Madrid,The Netherlands,Lenny Kuhr,De Troubadour,Final,18,1
1969,Madrid,United Kingdom,Lulu,Boom Bang-a-bang,Final,18,1
1970,Amsterdam,Luxembourg,David-Alexandre Winter,Je Suis Tombé Du Ciel,Final,0,12
1970,Amsterdam,Yugoslavia,Eva Sren,"Pridi, Dala Ti Bom Cvet",Final,4,11
1970,Amsterdam,Belgium,Jean Vallée,Viens L'oublier,Final,5,8
1970,Amsterdam,Italy,Gianni Morandi,Occhi Di Ragazza,Final,5,8
1970,Amsterdam,Monaco,Dominique Dussault,Marlène,Final,5,8
1970,Amsterdam,The Netherlands,Patricia and Hearts of Soul,Waterman,Final,7,7
1970,Amsterdam,France,Guy Bonnet,Marie Blanche,Final,8,4
1970,Amsterdam,Spain,Julio Iglesias,Gwendolyne,Final,8,4
1970,Amsterdam,Switzerland,Henri Dès,Retour,Final,8,4
1970,Amsterdam,Germany,Katja Ebstein,Wunder Gibt Es Immer Wieder,Final,12,3
1970,Amsterdam,United Kingdom,Mary Hopkin,"Knock, Knock (who's There?)",Final,26,2
1970,Amsterdam,Ireland,Dana,All Kinds Of Everything,Final,32,1
1971,Dublin,Malta,Joe Grech,Marija L-maltija,Final,52,18
1971,Dublin,Norway,Hanne Krogh,Lykken Er...,Final,65,17
1971,Dublin,Austria,Marianne Mendt,Musik,Final,66,16
1971,Dublin,Belgium,Lily Castel and Jacques Raymond,"Goeie Morgen, Morgen",Final,68,14
1971,Dublin,Yugoslavia,Krunoslav Slabinac,Tvoj Djecak Je Tuzan,Final,68,14
1971,Dublin,Luxembourg,Monique Melsen,"Pomme, Pomme, Pomme",Final,70,13
1971,Dublin,Switzerland,"Peter, Sue and Marc",Les Illusions De Nos Vingt Ans,Final,78,12
1971,Dublin,Ireland,Angela Farrell,One Day Love,Final,79,11
1971,Dublin,France,Serge Lama,Un Jardin Sur La Terre,Final,82,10
1971,Dublin,Portugal,Tonicha,Menina Do Alto Da Serra,Final,83,9
1971,Dublin,Finland,Markku Aro and Koivisto Sisters,Tie Uuteen Päivään,Final,84,8
1971,Dublin,Sweden,Family Four,Vita Vidder,Final,85,6
1971,Dublin,The Netherlands,Saskia and Serge,De Tijd,Final,85,6
1971,Dublin,Italy,Massimo Ranieri,L'amore è Un Attimo,Final,91,5
1971,Dublin,United Kingdom,Clodagh Rodgers,Jack In The Box,Final,98,4
1971,Dublin,Germany,Katja Ebstein,Diese Welt,Final,100,3
1971,Dublin,Spain,Karina,En Un Mundo Nuevo,Final,116,2
1971,Dublin,Monaco,Séverine,"Un Banc, Un Arbre, Une Rue",Final,128,1
1972,Edinburgh,Malta,Helen and Joseph,L-imhabba,Final,48,18
1972,Edinburgh,Belgium,Serge and Christine Ghisoland,À La Folie Ou Pas Du Tout,Final,55,17
1972,Edinburgh,Monaco,Anne-Marie Godart and Peter MacLane,Comme On S'aime,Final,65,16
1972,Edinburgh,Ireland,Sandie Jones,Ceol On Ghrá,Final,72,15
1972,Edinburgh,Norway,Grethe Kausland and Benny Borg,Småting,Final,73,14
1972,Edinburgh,Sweden,Family Four,Härliga Sommardag,Final,75,13
1972,Edinburgh,Finland,Päivi Paunu and Kim Floor,Muistathan,Final,78,12
1972,Edinburgh,France,Betty Mars,Comé-comédie,Final,81,11
1972,Edinburgh,Spain,Jaime Morey,Amanece,Final,83,10
1972,Edinburgh,Yugoslavia,Tereza,Muzika I Ti,Final,87,9
1972,Edinburgh,Switzerland,Véronique Müller,C'est La Chanson De Mon Amour,Final,88,8
1972,Edinburgh,Portugal,Carlos Mendes,A Festa Da Vida,Final,90,7
1972,Edinburgh,Italy,Nicola di Bari,I Giorni Dell' Arcobaleno,Final,92,6
1972,Edinburgh,Austria,The Milestones,Falter Im Wind,Final,100,5
1972,Edinburgh,The Netherlands,Sandra and Andres,Als Het Om De Liefde Gaat,Final,106,4
1972,Edinburgh,Germany,Mary Roos,Nur Die Liebe Läßt Uns Leben,Final,107,3
1972,Edinburgh,United Kingdom,The New Seekers,"Beg, Steal Or Borrow",Final,114,2
1972,Edinburgh,Luxembourg,Vicky Leandros,Après Toi,Final,128,1
1973,Luxembourg,Belgium,Nicole and Hugo,"Baby, Baby",Final,58,17
1973,Luxembourg,France,Martine Clémenceau,Sans Toi,Final,65,15
1973,Luxembourg,Yugoslavia,Zdravko Colic,Gori Vatra,Final,65,15
1973,Luxembourg,The Netherlands,Ben Cramer,De Oude Muzikant,Final,69,14
1973,Luxembourg,Italy,Massimo Ranieri,Chi Sarà Con Te,Final,74,13
1973,Luxembourg,Switzerland,Patrick Juvet,"Je Me Vais Marier, Marie",Final,79,12
1973,Luxembourg,Ireland,Maxi,Do I Dream?,Final,80,10
1973,Luxembourg,Portugal,Fernando Tordo,Tourada,Final,80,10
1973,Luxembourg,Germany,Gitte,Junger Tag,Final,85,8
1973,Luxembourg,Monaco,Marie,Un Train Qui Part,Final,85,8
1973,Luxembourg,Norway,Bendik Singers,It's Just A Game,Final,89,7
1973,Luxembourg,Finland,Marion Rung,Tom Tom Tom,Final,93,6
1973,Luxembourg,Sweden,The Nova and The Dolls,You're Summer,Final,94,5
1973,Luxembourg,Israel,Ilanit,Ey-sham,Final,97,4
1973,Luxembourg,United Kingdom,Cliff Richard,Power To All Our Friends,Final,123,3
1973,Luxembourg,Spain,Mocedades,Eres Tú,Final,125,2
1973,Luxembourg,Luxembourg,Anne-Marie David,Tu Te Reconnaîtras,Final,129,1
1974,Brighton,Germany,Cindy und Bert,Die Sommermelodie,Final,3,14
1974,Brighton,Norway,Anne-Karine Ström and the Bendik Singers,The First Day Of Love,Final,3,14
1974,Brighton,Portugal,Paulo de Carvalho,E Depois Do Adeus,Final,3,14
1974,Brighton,Switzerland,Piera Martell,Mein Ruf Nach Dir,Final,3,14
1974,Brighton,Finland,Carita,Äla Mene Pois (Keep Me Warm),Final,4,13
1974,Brighton,Yugoslavia,Korni,Generacija 42,Final,6,12
1974,Brighton,Greece,Marinella,"Krassi, Thalassa Ke T'agori Mou",Final,7,11
1974,Brighton,Belgium,Jacques Hustin,Fleur De Liberté,Final,10,9
1974,Brighton,Spain,Peret,Canta Y Se Feliz,Final,10,9
1974,Brighton,Ireland,Tina,Cross Your Heart,Final,11,7
1974,Brighton,Israel,Poogy,Natati La Khaiai,Final,11,7
